Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3015,51,       -.3,        .6,       4.2,       8.3,      13.8,      16.4,      18.4,      18.2,14,       9.2,4,       1.1,       8.9
3016,46,      -1.4,       -.5,       2.9,       6.2,      11.3,      14.1,      16.6,      16.2,      12.4,       7.8,       2.4,       -.3,       7.3
3018,51,        .2,        .8,       4.4,       7.3,12,      14.8,      16.9,      16.8,      13.2,       8.6,       3.6,       1.3,       8.3
3023,51,       2.2,       2.6,       5.5,       8.5,      13.3,      15.8,      17.8,      17.5,      14.1,10,       5.7,       3.4,       9.6
3028,51,       1.5,       1.9,       4.9,8,      12.9,      15.3,      17.5,      17.5,      13.7,       9.7,       5.2,       2.8,       9.2
3031,46,       2.1,       2.4,       5.5,       8.3,13,      15.7,      17.7,      17.6,14,10,       5.7,       3.4,       9.6
3032,46,       1.7,       1.5,       3.3,       6.5,      11.1,14,      16.2,      16.7,      13.9,      10.1,6,       3.3,       8.7
3034,46,      -1.8,      -1.1,       2.4,       5.8,      11.1,      13.9,      15.8,      15.6,      11.7,       7.1,       2.1,       -.4,       6.9
3042,46,        .1,        .6,       4.2,       7.4,      12.1,15,      17.1,      16.5,      12.8,       8.3,       3.6,       1.4,       8.3
3044,46,2,       2.3,       5.1,       8.1,      12.9,      15.4,      17.4,      17.1,      13.6,       9.6,       5.5,       3.2,       9.3
3045,46,       1.8,       2.1,5,8,      12.8,      15.3,      17.3,17,      13.5,       9.5,       5.3,3,       9.2
3056,51,        .6,       1.1,       4.9,       8.3,      13.1,      16.3,      18.3,      17.8,      13.6,       8.8,       4.2,       1.9,9
3062,46,2,       2.4,6,       9.1,      13.7,      16.7,      18.8,      18.3,      14.4,       9.8,       5.4,       3.1,10
3076,46,       1.9,       2.8,       6.6,       9.9,      14.7,      17.6,      19.8,      19.4,      15.3,      10.2,       5.3,3,      10.6
3082,46,        .1,        .9,       4.5,       8.5,14,      16.7,      18.7,      18.3,14,       9.2,       4.2,       1.5,       9.2
3083,46,        .1,        .9,       4.4,       8.4,      13.9,      16.7,      18.7,      18.3,14,       9.2,       4.2,       1.5,       9.2
3085,46,1,       1.4,       4.1,       7.4,      12.3,      15.3,      17.4,      17.2,      13.5,       9.3,       4.9,       2.4,       8.8
3086,46,        .8,       1.2,       3.9,       7.3,      12.2,      15.2,      17.2,17,      13.3,9,       4.7,       2.2,       8.7
3088,46,1,       1.4,       4.1,       7.4,      12.3,      15.4,      17.4,      17.2,      13.5,       9.3,       4.9,       2.4,       8.9
3093,46,        .7,       1.1,       4.3,       7.8,13,      15.6,      17.7,      17.3,      13.4,9,       4.6,       2.1,       8.9
3096,51,        .6,        .9,       3.8,       6.7,      11.6,      13.9,      16.5,      16.1,      12.5,       8.8,       4.1,       1.9,       8.1
3098,46,        .7,       1.2,       4.1,7,      11.8,      14.2,      16.4,      16.3,      12.9,       8.7,       4.2,       1.9,       8.3
3101,46,       2.4,       2.7,       5.6,       8.7,      13.3,      15.9,      17.9,      17.5,14,10,       5.8,       3.6,       9.8
3103,51,1,       1.4,       4.5,       7.8,13,      15.8,      17.9,      17.6,      13.5,       9.3,       5.1,       2.5,       9.1
3113,46,      -1.1,       -.5,       2.7,       6.1,      11.3,14,      16.1,      15.9,      12.1,       7.4,       2.6,        .1,       7.2
3126,51,        .7,       1.2,       4.9,       8.6,      13.8,      16.5,      18.5,      18.3,      14.2,       9.5,       4.7,2,       9.4
3135,46,       -.3,        .4,4,       7.1,      12.1,      14.9,      17.1,      16.7,      12.9,       8.3,       3.3,        .9,       8.1
3137,51,       1.3,       2.2,6,       9.6,      14.3,17,      19.3,      18.8,      14.8,       9.7,       4.9,       2.6,10
3139,46,-1,0,       4.1,       7.5,      12.7,      15.5,      17.7,      17.3,      13.3,       8.3,3,        .4,       8.2
3147,51,      -1.3,0,       4.5,       8.2,      13.5,      16.2,      18.2,      17.9,      13.6,       8.3,       3.1,        .2,       8.5
3155,51,        .3,        .8,       3.9,       6.7,      11.4,      14.2,      16.4,16,      12.3,       8.1,       3.5,       1.4,       7.9
3158,46,0,        .7,       4.2,       8.3,      13.6,      16.5,      18.5,      18.1,      13.9,       9.1,       4.1,       1.4,9
3160,46,0,        .5,       3.9,       7.4,      12.4,      15.3,      17.4,      17.1,      13.3,       8.7,       3.9,       1.3,       8.4
3164,51,        .5,       1.4,       4.9,       8.2,13,      16.1,      17.9,      17.4,      13.3,       8.8,       3.9,2,       8.9
3166,46,      -1.7,      -1.3,       1.8,       5.3,      10.6,      13.3,      15.3,      15.3,      11.5,       7.2,2,       -.5,       6.6
3167,46,       -.9,       -.4,       2.8,       6.1,      10.8,      13.4,      15.6,      15.6,      11.9,       7.5,       2.6,        .3,       7.1
3196,51,        .1,        .8,       3.5,       7.2,      12.5,      15.4,      17.2,17,      13.2,       8.8,       4.2,       1.6,       8.4
3204,46,       -.8,       -.3,       3.1,       6.4,      11.5,      14.4,      16.5,      16.2,      12.5,       7.8,       3.1,        .5,       7.6
3211,46,      -2.7,-2,       1.1,       4.6,      10.1,      12.6,      14.5,      14.5,      10.7,       6.5,1,      -1.5,       5.8
3212,51,       1.5,2,       5.5,       8.4,      12.8,      15.9,      17.9,      17.5,      13.5,       9.1,       4.7,       2.7,       9.2
3222,46,       1.7,       2.1,       5.1,       8.4,      13.2,      15.7,      17.8,      17.6,14,       9.8,       5.4,3,       9.5
3223,46,        .3,       1.4,       5.3,       8.6,      13.5,      16.4,      18.7,      18.3,      14.5,       9.4,4,       1.5,       9.3
3226,46,        .6,       1.1,       4.5,       8.1,      13.2,16,18,      17.7,      13.8,       9.2,       4.5,       1.9,9
3228,46,0,        .4,       3.3,       6.3,      11.2,      13.6,      15.8,      15.6,      12.1,8,       3.4,       1.1,       7.6
3231,46,      -1.3,       -.6,       3.1,       6.6,      11.6,      14.3,      16.4,      16.2,      12.4,       7.5,       2.5,0,       7.4
3234,51,0,        .8,       4.2,       7.7,      12.8,      15.7,      17.8,      17.6,      13.6,       8.9,       3.9,       1.5,       8.7
3236,46,       1.7,2,5,       8.1,      12.9,      15.5,      17.6,      17.3,      13.6,       9.5,       5.2,       2.9,       9.3
3244,51,-1,0,       3.6,       6.8,      11.9,      14.7,      16.8,      16.3,      12.7,8,       2.8,        .2,       7.7
3245,46,-1,       -.1,       3.6,       6.8,12,      14.9,      17.2,      16.7,      12.8,8,       2.7,        .1,       7.8
3246,46,       1.8,       2.4,       5.8,       8.9,      13.5,      16.3,      18.5,18,      14.2,       9.6,       5.2,       2.9,       9.8
3253,51,      -1.8,      -1.2,       1.3,4,       8.7,      11.6,      13.8,      13.1,      10.4,       6.5,       1.6,       -.6,       5.6
3254,46,2,       2.3,       5.2,       8.2,      12.9,      15.5,      17.5,      17.2,      13.8,       9.7,       5.5,       3.2,       9.4
3257,51,        .2,1,       4.9,       8.2,      13.1,      16.1,      18.2,      17.9,      13.7,       8.7,4,       1.6,       8.9
3265,46,       -.2,        .4,4,       7.2,      12.1,      14.9,17,      16.7,      12.9,       8.3,       3.4,       1.1,       8.2
